Saison;Num_match;Competition;dom_ext;Gagne_perdu;Adveresaire;Capitaine;Starter/bench;Joueur;Minutes;Secondes;Secondes(minutes);Tps_jeu_decimal;Tirs_marques;Tirs_tentes;%Tirs;2pts_marques;2pts_tentes;%2pts;3pts_marques;3pts_tentes;%3pts;LF_marques;LF_tentes;%LF;Pts_apres_balles_perdues;Points_int;Point_2eme_chance;Points_CA;Points_banc;Ecart_max;Serie_max;Pts;RO;RD;RT;PD;BP;INT;CT;CTS;F;FPR;+/-;EVAL;N°;JOUEUR
24-25;18;Championat de France;Exterieur;Defaite;Lattes Montpellier;;Banc;TOTAUX EQUIPE;;;;;23;56;0,41;18;33;0,55;5;23;0,22;7;8;0,88;9;24;10;0;8;6;9;58;10;27;37;16;17;5;1;0;15;10;0;66;0;TOTAUX EQUIPE
24-25;19;Championat de France;Domicile;Victoire;Villeneuve d'Ascq;Capitaine;Starter;C. Droguet(C);28;58;0,97;58,97;3;11;0,27;2;7;0,29;1;4;0,25;0;0;;;;;;;;;7;0;2;2;6;1;0;1;0;4;1;7;7;7;C. Droguet(C)
24-25;19;Championat de France;Domicile;Victoire;Villeneuve d'Ascq;;Starter;M. Musa;36;2;0,03;2,03;8;14;0,57;7;12;0,58;1;2;0,50;2;3;0,67;;;;;;;;19;6;8;14;1;1;2;0;0;4;7;8;28;11;M. Musa
24-25;19;Championat de France;Domicile;Victoire;Villeneuve d'Ascq;;Starter;A. Sivka;23;17;0,28;17,28;0;2;0,00;0;0;;0;2;0,00;2;4;0,50;;;;;;;;2;0;7;7;2;2;1;0;0;3;3;5;6;17;A. Sivka
24-25;19;Championat de France;Domicile;Victoire;Villeneuve d'Ascq;;Starter;N. Fora;34;0;0;0;3;12;0,25;3;10;0,30;0;2;0,00;1;2;0,50;;;;;;;;7;3;3;6;2;0;2;0;1;1;5;3;7;25;N. Fora
24-25;19;Championat de France;Domicile;Victoire;Villeneuve d'Ascq;;Starter;N. Miyem;33;31;0,52;31,52;5;11;0,45;3;7;0,43;2;4;0,50;3;3;1,00;;;;;;;;15;1;4;5;3;3;0;0;0;3;2;3;14;77;N. Miyem
24-25;19;Championat de France;Domicile;Victoire;Villeneuve d'Ascq;;Banc;T. Cooper;9;3;0,05;3,05;0;2;0,00;0;2;0,00;0;0;;2;2;1,00;;;;;;;;2;0;0;0;1;0;1;0;1;0;2;1;2;2;T. Cooper
24-25;19;Championat de France;Domicile;Victoire;Villeneuve d'Ascq;;Banc;I. Strunc;8;8;0,13;8,13;0;3;0,00;0;1;0,00;0;2;0,00;0;0;;;;;;;;;0;0;0;0;1;1;0;0;0;2;0;1;-3;8;I. Strunc
24-25;19;Championat de France;Domicile;Victoire;Villeneuve d'Ascq;;Banc;E. Poulain;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;10;E. Poulain
24-25;19;Championat de France;Domicile;Victoire;Villeneuve d'Ascq;;Banc;M. Ewodo;10;27;0,45;27,45;1;4;0,25;1;2;0,50;0;2;0,00;0;0;;;;;;;;;2;1;0;1;0;0;0;0;0;1;0;1;0;14;M. Ewodo
24-25;19;Championat de France;Domicile;Victoire;Villeneuve d'Ascq;;Banc;M. Mendy;16;3;0,05;3,05;1;3;0,33;0;1;0,00;1;2;0,50;0;0;;;;;;;;;3;0;3;3;1;0;1;0;0;1;1;1;6;21;M. Mendy
24-25;19;Championat de France;Domicile;Victoire;Villeneuve d'Ascq;;Banc;J. Celerier;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;27;J. Celerier
24-25;19;Championat de France;Domicile;Victoire;Villeneuve d'Ascq;;Banc;Team / Coach;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Team / Coach
24-25;19;Championat de France;Domicile;Victoire;Villeneuve d'Ascq;;Banc;TOTAUX EQUIPE;;;;;21;62;0,34;16;42;0,38;5;20;0,25;10;14;0,71;11;24;10;4;7;11;7;57;11;27;38;17;8;7;1;2;19;21;0;67;0;TOTAUX EQUIPE
24-25;20;Championat de France;Domicile;Victoire;Roche Vendée;Capitaine;Starter;C. Droguet(C);31;59;0,98;59,98;7;8;0,88;3;4;0,75;4;4;1,00;0;0;;;;;;;;;18;0;4;4;4;3;2;0;1;4;2;10;24;7;C. Droguet(C)
24-25;20;Championat de France;Domicile;Victoire;Roche Vendée;;Starter;M. Musa;31;42;0,7;42,7;10;16;0,63;10;16;0,63;0;0;;1;1;1,00;;;;;;;;21;4;5;9;1;3;0;0;1;1;1;10;22;11;M. Musa
24-25;20;Championat de France;Domicile;Victoire;Roche Vendée;;Starter;A. Sivka;24;11;0,18;11,18;4;8;0,50;1;2;0,50;3;6;0,50;0;0;;;;;;;;;11;1;2;3;3;2;0;0;0;4;1;-2;11;17;A. Sivka
24-25;20;Championat de France;Domicile;Victoire;Roche Vendée;;Starter;N. Fora;24;15;0,25;15,25;3;7;0,43;3;6;0,50;0;1;0,00;4;5;0,80;;;;;;;;10;1;0;1;5;2;1;0;1;4;5;20;10;25;N. Fora
