Saison;Num_match;Competition;dom_ext;Gagne_perdu;Adveresaire;Capitaine;Starter/bench;Joueur;Minutes;Secondes;Secondes(minutes);Tps_jeu_decimal;Tirs_marques;Tirs_tentes;%Tirs;2pts_marques;2pts_tentes;%2pts;3pts_marques;3pts_tentes;%3pts;LF_marques;LF_tentes;%LF;Pts_apres_balles_perdues;Points_int;Point_2eme_chance;Points_CA;Points_banc;Ecart_max;Serie_max;Pts;RO;RD;RT;PD;BP;INT;CT;CTS;F;FPR;+/-;EVAL;N°;JOUEUR;;;
23-24;8;Championat de France;Domicile;Victoire;Charleville-Mézières;;Starter;K. Linskens;29;5;0,08;29,08;6;10;0,6;6;8;0,75;0;2;0;1;1;1;;;;;;;;13;0;6;6;4;1;1;1;1;1;1;10;20;31;K. Linskens;;;
23-24;8;Championat de France;Domicile;Victoire;Charleville-Mézières;Capitaine;Starter;R. Bernies;30;21;0,35;30,35;3;6;0,5;1;3;0,333333333;2;3;0,666666667;2;2;1;;;;;;;;10;1;6;7;2;2;1;0;0;4;2;13;15;47;R. Bernies(C);;;
23-24;8;Championat de France;Domicile;Victoire;Charleville-Mézières;;Banc;L. Djoko;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;L. Djoko;;;
23-24;8;Championat de France;Domicile;Victoire;Charleville-Mézières;;Banc;E. Zemoura;0;26;0,43;0,43;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;4;0;2;E. Zemoura;;;
23-24;8;Championat de France;Domicile;Victoire;Charleville-Mézières;;Banc;K. Bell;7;54;0,9;7,9;1;3;0,333333333;1;2;0,5;0;1;0;1;2;0,5;;;;;;;;3;0;0;0;1;1;0;0;1;1;2;2;0;3;K. Bell;;;
23-24;8;Championat de France;Domicile;Victoire;Charleville-Mézières;;Banc;E. Naigre;23;17;0,28;23,28;4;10;0,4;2;6;0,333333333;2;4;0,5;0;0;;;;;;;;;10;1;4;5;6;0;2;2;0;2;0;6;19;13;E. Naigre;;;
23-24;8;Championat de France;Domicile;Victoire;Charleville-Mézières;;Banc;A. Alston;33;32;0,53;33,53;8;14;0,571428571;4;7;0,571428571;4;7;0,571428571;1;1;1;;;;;;;;21;0;3;3;3;1;3;0;0;2;1;5;23;22;A. Alston;;;
23-24;8;Championat de France;Domicile;Victoire;Charleville-Mézières;;Banc;TOTAUX EQUIPE;;;;;37;66;0,560606061;26;44;0,590909091;11;22;0,5;9;10;0,9;28;44;12;15;34;19;9;94;8;27;35;27;15;11;3;2;14;11;0;125;;TOTAUX EQUIPE;;;
23-24;9;Championat de France;Exterieur;Victoire;Tarbes;;Starter;E. Zemoura;17;32;0,53;17,53;3;6;0,5;1;3;0,333333333;2;3;0,666666667;0;0;;;;;;;;;8;1;0;1;0;1;1;0;0;2;2;4;6;2;E. Zemoura;;;
23-24;9;Championat de France;Exterieur;Victoire;Tarbes;;Starter;A. Jenkins;35;10;0,17;35,17;5;10;0,5;1;4;0,25;4;6;0,666666667;1;2;0,5;;;;;;;;15;1;5;6;3;2;2;0;2;2;6;17;18;24;A. Jenkins;;;
23-24;9;Championat de France;Exterieur;Victoire;Tarbes;;Starter;M. Toure;27;50;0,83;27,83;2;8;0,25;2;6;0,333333333;0;2;0;2;2;1;;;;;;;;6;2;3;5;4;1;2;1;0;0;1;8;11;28;M. Toure;;;
23-24;9;Championat de France;Exterieur;Victoire;Tarbes;;Starter;K. Linskens;23;20;0,33;23,33;5;13;0,384615385;5;11;0,454545455;0;2;0;5;6;0,833333333;;;;;;;;15;3;4;7;2;3;1;1;0;3;4;12;14;31;K. Linskens;;;
23-24;9;Championat de France;Exterieur;Victoire;Tarbes;Capitaine;Starter;R. Bernies;39;33;0,55;39,55;6;6;1;1;1;1;5;5;1;3;3;1;;;;;;;;20;1;4;5;9;5;2;0;0;0;1;16;31;47;R. Bernies(C);;;
23-24;9;Championat de France;Exterieur;Victoire;Tarbes;;Banc;L. Djoko;1;5;0,08;1,08;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;-1;0;4;L. Djoko;;;
23-24;9;Championat de France;Exterieur;Victoire;Tarbes;;Banc;S. Caetano;2;34;0,57;2,57;0;1;0;0;1;0;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;1;0;2;-1;8;S. Caetano;;;
23-24;9;Championat de France;Exterieur;Victoire;Tarbes;;Banc;E. Naigre;30;43;0,72;30,72;1;9;0,111111111;0;4;0;1;5;0,2;3;4;0,75;;;;;;;;6;0;0;0;2;4;0;0;1;4;2;21;-5;13;E. Naigre;;;
23-24;9;Championat de France;Exterieur;Victoire;Tarbes;;Banc;K. Bell;22;13;0,22;22,22;3;5;0,6;2;4;0,5;1;1;1;2;2;1;;;;;;;;9;0;3;3;1;2;2;0;0;0;1;1;11;23;K. Bell;;;
23-24;9;Championat de France;Exterieur;Victoire;Tarbes;;Banc;TOTAUX EQUIPE;;;;;25;58;0,431034483;12;34;0,352941176;13;24;0,541666667;16;19;0,842105263;25;24;4;5;15;19;9;79;11;25;36;21;21;10;2;3;12;17;0;91;;TOTAUX EQUIPE;;;
23-24;10;Championat de France;Domicile;Defaite;Roche Vendée;;Starter;A. Alston;36;34;0,57;36,57;5;13;0,384615385;4;7;0,571428571;1;6;0,166666667;2;2;1;;;;;;;;13;1;5;6;3;4;0;0;0;2;1;-20;10;22;A. Alston;;;
23-24;10;Championat de France;Domicile;Defaite;Roche Vendée;;Starter;A. Jenkins;33;1;0,02;33,02;2;10;0,2;2;10;0,2;0;0;;10;10;1;;;;;;;;14;3;4;7;5;3;2;2;1;4;6;-14;19;24;A. Jenkins;;;
23-24;10;Championat de France;Domicile;Defaite;Roche Vendée;;Starter;M. Toure;27;45;0,75;27,75;2;8;0,25;2;5;0,4;0;3;0;0;1;0;;;;;;;;4;1;0;1;3;1;1;0;0;2;3;-8;1;28;M. Toure;;;
23-24;10;Championat de France;Domicile;Defaite;Roche Vendée;;Starter;K. Linskens;28;34;0,57;28,57;2;7;0,285714286;2;4;0,5;0;3;0;0;0;;;;;;;;;4;2;7;9;4;3;1;0;0;3;1;-21;10;31;K. Linskens;;;
23-24;10;Championat de France;Domicile;Defaite;Roche Vendée;Capitaine;Starter;R. Bernies;38;8;0,13;38,13;4;10;0,4;3;5;0,6;1;5;0,2;1;1;1;;;;;;;;10;0;4;4;1;2;2;1;0;0;2;-11;10;47;R. Bernies(C);;;
23-24;10;Championat de France;Domicile;Defaite;Roche Vendée;;Banc;L. Djoko;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;L. Djoko;;;
23-24;10;Championat de France;Domicile;Defaite;Roche Vendée;;Banc;E. Zemoura;1;53;0,88;1,88;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;1;0;0;0;1;0;-6;-1;2;E. Zemoura;;;
23-24;10;Championat de France;Domicile;Defaite;Roche Vendée;;Banc;S. Caetano;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;8;S. Caetano;;;
23-24;10;Championat de France;Domicile;Defaite;Roche Vendée;;Banc;E. Naigre;22;4;0,07;22,07;3;7;0,428571429;2;2;1;1;5;0,2;1;1;1;;;;;;;;8;0;2;2;0;3;0;1;0;2;3;-6;4;13;E. Naigre;;;
23-24;10;Championat de France;Domicile;Defaite;Roche Vendée;;Banc;K. Bell;12;0;0;12;0;1;0;0;1;0;0;0;;0;0;;;;;;;;;0;0;0;0;1;1;1;0;0;0;0;-9;0;23;K. Bell;;;
23-24;10;Championat de France;Domicile;Defaite;Roche Vendée;;Banc;TOTAUX EQUIPE;;;;;18;56;0,321428571;15;34;0,441176471;3;22;0,136363636;14;15;0,933333333;14;18;6;6;8;7;6;53;7;24;31;17;18;7;4;1;14;16;0;55;;TOTAUX EQUIPE;;;
23-24;11;Championat de France;Exterieur;Defaite;Bourges;;Starter;E. Naigre;30;40;0,67;30,67;2;7;0,285714286;1;3;0,333333333;1;4;0,25;2;2;1;;;;;;;;7;0;1;1;1;1;1;0;0;2;1;-7;4;13;E. Naigre;;;
23-24;11;Championat de France;Exterieur;Defaite;Bourges;;Starter;A. Alston;27;46;0,77;27,77;1;9;0,111111111;1;7;0,142857143;0;2;0;0;0;;;;;;;;;2;1;3;4;2;2;1;0;1;1;2;-5;-1;22;A. Alston;;;
23-24;11;Championat de France;Exterieur;Defaite;Bourges;;Starter;A. Jenkins;30;32;0,53;30,53;1;7;0,142857143;1;6;0,166666667;0;1;0;5;5;1;;;;;;;;7;2;5;7;3;1;5;0;0;1;3;-6;15;24;A. Jenkins;;;
23-24;11;Championat de France;Exterieur;Defaite;Bourges;;Starter;K. Linskens;22;23;0,38;22,38;5;9;0,555555556;4;6;0,666666667;1;3;0,333333333;2;2;1;;;;;;;;13;0;7;7;2;4;1;2;0;3;2;-6;17;31;K. Linskens;;;
23-24;11;Championat de France;Exterieur;Defaite;Bourges;Capitaine;Starter;R. Bernies;33;22;0,37;33,37;3;7;0,428571429;1;2;0,5;2;5;0,4;2;2;1;;;;;;;;10;0;1;1;6;4;1;0;0;3;1;-15;10;47;R. Bernies(C);;;
23-24;11;Championat de France;Exterieur;Defaite;Bourges;;Banc;E. Zemoura;16;13;0,22;16,22;3;6;0,5;1;3;0,333333333;2;3;0,666666667;0;0;;;;;;;;;8;1;0;1;0;0;0;0;1;2;0;0;6;2;E. Zemoura;;;
23-24;11;Championat de France;Exterieur;Defaite;Bourges;;Banc;S. Caetano;0;16;0,27;0,27;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;-2;0;8;S. Caetano;;;
23-24;11;Championat de France;Exterieur;Defaite;Bourges;;Banc;K. Bell;5;33;0,55;5,55;0;1;0;0;1;0;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;1;1;3;-1;23;K. Bell;;;
23-24;11;Championat de France;Exterieur;Defaite;Bourges;;Banc;M. Toure;33;15;0,25;33,25;8;12;0,666666667;4;7;0,571428571;4;5;0,8;3;5;0,6;;;;;;;;23;0;2;2;3;0;2;1;0;4;3;-7;25;28;M. Toure;;;
23-24;11;Championat de France;Exterieur;Defaite;Bourges;;Banc;TOTAUX EQUIPE;;;;;23;58;0,396551724;13;35;0,371428571;10;23;0,434782609;14;16;0,875;20;24;2;6;31;7;9;70;5;20;25;17;13;11;3;2;17;13;0;76;;TOTAUX EQUIPE;;;
23-24;12;Championat de France;Exterieur;Defaite;Landerneau;;Starter;E. Naigre;29;48;0,8;29,8;2;3;0,666666667;1;2;0,5;1;1;1;1;2;0,5;;;;;;;;6;0;5;5;5;3;1;0;0;1;2;-6;12;13;E. Naigre;;;
23-24;12;Championat de France;Exterieur;Defaite;Landerneau;;Starter;A. Alston;31;21;0,35;31,35;5;13;0,384615385;4;6;0,666666667;1;7;0,142857143;3;3;1;;;;;;;;14;0;1;1;3;8;0;0;1;2;3;-9;2;22;A. Alston;;;
23-24;12;Championat de France;Exterieur;Defaite;Landerneau;;Starter;A. Jenkins;36;10;0,17;36,17;7;11;0,636363636;7;8;0,875;0;3;0;5;7;0,714285714;;;;;;;;19;3;4;7;0;4;4;2;0;2;7;-5;22;24;A. Jenkins;;;
23-24;12;Championat de France;Exterieur;Defaite;Landerneau;;Starter;M. Badiane;30;21;0,35;30,35;6;11;0,545454545;5;9;0,555555556;1;2;0,5;4;5;0,8;;;;;;;;17;3;4;7;4;3;1;1;0;3;4;0;21;25;M. Badiane;;;
23-24;12;Championat de France;Exterieur;Defaite;Landerneau;Capitaine;Starter;R. Bernies;37;37;0,62;37,62;4;9;0,444444444;4;7;0,571428571;0;2;0;0;0;;;;;;;;;8;1;1;2;6;4;1;0;0;2;1;-15;8;47;R. Bernies(C);;;
23-24;12;Championat de France;Exterieur;Defaite;Landerneau;;Banc;E. Zemoura;9;5;0,08;9,08;1;1;1;0;0;;1;1;1;0;0;;;;;;;;;3;1;1;2;0;2;1;0;0;0;0;-5;4;2;E. Zemoura;;;
23-24;12;Championat de France;Exterieur;Defaite;Landerneau;;Banc;A. Brun;4;42;0,7;4,7;0;2;0;0;0;;0;2;0;2;2;1;;;;;;;;2;0;1;1;0;0;0;0;0;2;1;4;1;4;A. Brun;;;
23-24;12;Championat de France;Exterieur;Defaite;Landerneau;;Banc;S. Caetano;7;2;0,03;7,03;0;1;0;0;0;;0;1;0;1;2;0,5;;;;;;;;1;0;0;0;0;0;2;0;0;1;1;2;1;8;S. Caetano;;;
23-24;12;Championat de France;Exterieur;Defaite;Landerneau;;Banc;K. Linskens;13;55;0,92;13,92;1;3;0,333333333;1;3;0,333333333;0;0;;0;0;;;;;;;;;2;0;3;3;1;0;0;0;0;1;0;-16;4;31;K. Linskens;;;
23-24;12;Championat de France;Exterieur;Defaite;Landerneau;;Banc;TOTAUX EQUIPE;;;;;26;54;0,481481481;22;35;0,628571429;4;19;0,210526316;16;21;0,761904762;21;40;9;7;8;;10;72;10;21;31;19;24;10;3;1;14;19;0;78;;TOTAUX EQUIPE;;;
23-24;13;Championat de France;Domicile;Defaite;Villeneuve d'Ascq;;Starter;E. Zemoura;9;4;0,07;9,07;1;3;0,333333333;1;3;0,333333333;0;0;;0;0;;;;;;;;;2;0;0;0;0;0;0;0;0;1;0;1;0;2;E. Zemoura;;;
23-24;13;Championat de France;Domicile;Defaite;Villeneuve d'Ascq;;Starter;A. Alston;36;12;0,2;36,2;7;12;0,583333333;5;7;0,714285714;2;5;0,4;2;2;1;;;;;;;;18;3;2;5;4;6;2;0;1;0;2;-13;18;22;A. Alston;;;
23-24;13;Championat de France;Domicile;Defaite;Villeneuve d'Ascq;;Starter;A. Jenkins;34;12;0,2;34,2;1;4;0,25;1;2;0,5;0;2;0;2;2;1;;;;;;;;4;1;6;7;6;3;1;1;0;2;4;-8;13;24;A. Jenkins;;;
23-24;13;Championat de France;Domicile;Defaite;Villeneuve d'Ascq;;Starter;M. Badiane;31;37;0,62;31,62;4;8;0,5;3;5;0,6;1;3;0,333333333;0;0;;;;;;;;;9;1;4;5;2;1;1;1;0;2;3;-7;13;25;M. Badiane;;;
23-24;13;Championat de France;Domicile;Defaite;Villeneuve d'Ascq;Capitaine;Starter;R. Bernies;36;39;0,65;36,65;7;15;0,466666667;3;6;0,5;4;9;0,444444444;2;2;1;;;;;;;;20;1;3;4;8;1;1;0;0;1;1;-5;24;47;R. Bernies(C);;;
23-24;13;Championat de France;Domicile;Defaite;Villeneuve d'Ascq;;Banc;M. Traore;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;M. Traore;;;
23-24;13;Championat de France;Domicile;Defaite;Villeneuve d'Ascq;;Banc;A. Brun;5;32;0,53;5,53;1;1;1;0;0;;1;1;1;0;0;;;;;;;;;3;0;0;0;0;0;0;0;0;1;1;1;3;4;A. Brun;;;
23-24;13;Championat de France;Domicile;Defaite;Villeneuve d'Ascq;;Banc;S. Caetano;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;8;S. Caetano;;;
23-24;13;Championat de France;Domicile;Defaite;Villeneuve d'Ascq;;Banc;E. Naigre;28;57;0,95;28,95;4;8;0,5;2;3;0,666666667;2;5;0,4;3;4;0,75;;;;;;;;13;0;2;2;2;1;0;0;0;4;3;-2;11;13;E. Naigre;;;
23-24;13;Championat de France;Domicile;Defaite;Villeneuve d'Ascq;;Banc;K. Linskens;17;47;0,78;17,78;2;9;0,222222222;2;8;0,25;0;1;0;2;2;1;;;;;;;;6;1;2;3;1;1;1;0;0;2;2;-7;3;31;K. Linskens;;;
23-24;13;Championat de France;Domicile;Defaite;Villeneuve d'Ascq;;Banc;TOTAUX EQUIPE;;;;;27;60;0,45;17;34;0,5;10;26;0,384615385;11;12;0,916666667;8;30;9;6;22;6;7;75;8;23;31;23;14;6;2;1;14;16;0;89;;TOTAUX EQUIPE;;;
23-24;14;Championat de France;Exterieur;Victoire;Charnay;;Starter;A. Alston;26;59;0,98;26,98;6;8;0,75;4;5;0,8;2;3;0,666666667;8;9;0,888888889;;;;;;;;22;1;1;2;6;0;1;0;0;3;7;18;28;22;A. Alston;;;
23-24;14;Championat de France;Exterieur;Victoire;Charnay;;Starter;A. Jenkins;26;37;0,62;26,62;2;4;0,5;2;4;0,5;0;0;;4;6;0,666666667;;;;;;;;8;1;3;4;5;2;3;0;0;2;3;6;14;24;A. Jenkins;;;
23-24;14;Championat de France;Exterieur;Victoire;Charnay;;Starter;M. Badiane;28;44;0,73;28,73;5;11;0,454545455;4;8;0,5;1;3;0,333333333;1;2;0,5;;;;;;;;12;2;7;9;2;4;1;1;0;4;2;16;14;25;M. Badiane;;;
23-24;14;Championat de France;Exterieur;Victoire;Charnay;;Starter;G. Rabot;16;53;0,88;16,88;3;4;0,75;3;4;0,75;0;0;;1;2;0,5;;;;;;;;7;2;2;4;1;0;1;0;0;3;3;8;11;26;G. Rabot;;;
23-24;14;Championat de France;Exterieur;Victoire;Charnay;Capitaine;Starter;R. Bernies;31;7;0,12;31,12;5;7;0,714285714;0;1;0;5;6;0,833333333;2;2;1;;;;;;;;17;0;1;1;2;3;1;0;0;1;2;25;16;47;R. Bernies(C);;;
23-24;14;Championat de France;Exterieur;Victoire;Charnay;;Banc;E. Zemoura;4;42;0,7;4,7;0;1;0;0;0;;0;1;0;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;-7;-1;2;E. Zemoura;;;
23-24;14;Championat de France;Exterieur;Victoire;Charnay;;Banc;A. Brun;4;29;0,48;4,48;0;0;;0;0;;0;0;;0;2;0;;;;;;;;0;0;0;0;0;2;0;0;0;1;1;-10;-4;4;A. Brun;;;
23-24;14;Championat de France;Exterieur;Victoire;Charnay;;Banc;S. Caetano;1;55;0,92;1,92;0;0;;0;0;;0;0;;2;2;1;;;;;;;;2;0;1;1;0;0;0;0;0;0;1;-3;3;8;S. Caetano;;;
23-24;14;Championat de France;Exterieur;Victoire;Charnay;;Banc;M. Toure;29;58;0,97;29,97;1;7;0,142857143;1;6;0,166666667;0;1;0;2;4;0,5;;;;;;;;4;0;3;3;2;2;2;0;0;2;3;10;1;28;M. Toure;;;
23-24;14;Championat de France;Exterieur;Victoire;Charnay;;Banc;K. Linskens;28;36;0,6;28,6;6;8;0,75;5;6;0,833333333;1;2;0,5;5;6;0,833333333;;;;;;;;18;1;7;8;5;2;1;1;0;1;4;17;28;31;K. Linskens;;;
23-24;14;Championat de France;Exterieur;Victoire;Charnay;;Banc;TOTAUX EQUIPE;;;;;28;50;0,56;19;34;0,558823529;9;16;0,5625;25;35;0,714285714;22;28;12;12;24;26;15;90;7;26;33;23;17;10;2;0;17;26;0;109;;TOTAUX EQUIPE;;;
23-24;15;Championat de France;Domicile;Victoire;Saint-Amand;;Starter;A. Alston;34;55;0,92;34,92;6;14;0,428571429;3;8;0,375;3;6;0,5;0;0;;;;;;;;;15;1;3;4;3;1;2;0;1;0;1;24;15;22;A. Alston;;;
23-24;15;Championat de France;Domicile;Victoire;Saint-Amand;;Starter;A. Jenkins;29;31;0,52;29,52;6;7;0,857142857;5;5;1;1;2;0,5;7;9;0,777777778;;;;;;;;20;3;7;10;0;3;0;1;0;1;6;24;25;24;A. Jenkins;;;
23-24;15;Championat de France;Domicile;Victoire;Saint-Amand;;Starter;M. Badiane;29;28;0,47;29,47;5;12;0,416666667;5;11;0,454545455;0;1;0;0;0;;;;;;;;;10;2;7;9;2;0;2;4;0;2;3;13;20;25;M. Badiane;;;
23-24;15;Championat de France;Domicile;Victoire;Saint-Amand;;Starter;G. Rabot;17;10;0,17;17,17;1;5;0,2;1;4;0,25;0;1;0;0;0;;;;;;;;;2;4;3;7;2;0;0;0;1;2;0;3;7;26;G. Rabot;;;
23-24;15;Championat de France;Domicile;Victoire;Saint-Amand;Capitaine;Starter;R. Bernies;36;21;0,35;36,35;5;10;0,5;4;6;0,666666667;1;4;0,25;3;3;1;;;;;;;;14;1;1;2;9;3;0;0;0;1;4;21;17;47;R. Bernies(C);;;
23-24;15;Championat de France;Domicile;Victoire;Saint-Amand;;Banc;M. Traore;1;35;0,58;1,58;0;1;0;0;1;0;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;-2;-1;1;M. Traore;;;
23-24;15;Championat de France;Domicile;Victoire;Saint-Amand;;Banc;E. Zemoura;1;9;0,15;1,15;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;1;0;-1;0;2;E. Zemoura;;;
23-24;15;Championat de France;Domicile;Victoire;Saint-Amand;;Banc;M. Lokoka;1;9;0,15;1,15;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;1;1;0;0;0;0;0;0;0;-1;1;3;M. Lokoka;;;
23-24;15;Championat de France;Domicile;Victoire;Saint-Amand;;Banc;A. Brun;1;35;0,58;1,58;0;1;0;0;0;;0;1;0;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;-2;-1;4;A. Brun;;;
23-24;15;Championat de France;Domicile;Victoire;Saint-Amand;;Banc;S. Caetano;1;9;0,15;1,15;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;1;1;0;0;0;0;0;0;0;-1;1;8;S. Caetano;;;
23-24;15;Championat de France;Domicile;Victoire;Saint-Amand;;Banc;E. Naigre;19;25;0,42;19,42;3;7;0,428571429;2;5;0,4;1;2;0,5;0;0;;;;;;;;;7;1;2;3;0;1;0;1;0;4;1;5;6;13;E. Naigre;;;
23-24;15;Championat de France;Domicile;Victoire;Saint-Amand;;Banc;M. Toure;26;33;0,55;26,55;1;7;0,142857143;0;3;0;1;4;0,25;0;0;;;;;;;;;3;0;1;1;2;2;5;0;0;2;0;12;3;28;M. Toure;;;
23-24;15;Championat de France;Domicile;Victoire;Saint-Amand;;Banc;TOTAUX EQUIPE;;;;;27;64;0,421875;20;43;0,465116279;7;21;0,333333333;10;12;0,833333333;24;36;18;11;10;21;12;71;13;28;41;18;12;9;6;2;13;15;0;94;;TOTAUX EQUIPE;;;
23-24;16;Championat de France;Exterieur;Defaite;Lyon Asvel Féminin;;Starter;E. Naigre;29;38;0,63;29,63;0;3;0;0;2;0;0;1;0;2;2;1;;;;;;;;2;0;4;4;4;1;0;0;0;2;2;-15;6;13;E. Naigre;;;
23-24;16;Championat de France;Exterieur;Defaite;Lyon Asvel Féminin;;Starter;A. Alston;30;0;0;30;3;12;0,25;1;8;0,125;2;4;0,5;0;0;;;;;;;;;8;0;0;0;0;3;3;0;0;2;5;-22;-1;22;A. Alston;;;
23-24;16;Championat de France;Exterieur;Defaite;Lyon Asvel Féminin;;Starter;A. Jenkins;31;56;0,93;31,93;8;16;0,5;7;14;0,5;1;2;0,5;0;0;;;;;;;;;17;8;8;16;1;4;3;1;1;3;0;-11;26;24;A. Jenkins;;;
23-24;16;Championat de France;Exterieur;Defaite;Lyon Asvel Féminin;;Starter;G. Rabot;20;27;0,45;20,45;0;3;0;0;2;0;0;1;0;0;0;;;;;;;;;0;3;0;3;1;2;2;0;0;4;0;-14;1;26;G. Rabot;;;
23-24;16;Championat de France;Exterieur;Defaite;Lyon Asvel Féminin;Capitaine;Starter;R. Bernies;32;8;0,13;32,13;8;13;0,615384615;2;3;0,666666667;6;10;0,6;5;5;1;;;;;;;;27;0;2;2;2;0;1;1;0;1;4;-6;28;47;R. Bernies(C);;;
23-24;16;Championat de France;Exterieur;Defaite;Lyon Asvel Féminin;;Banc;E. Zemoura;7;26;0,43;7,43;0;1;0;0;0;;0;1;0;0;2;0;;;;;;;;0;1;1;2;1;0;1;0;0;1;1;-7;1;2;E. Zemoura;;;
23-24;16;Championat de France;Exterieur;Defaite;Lyon Asvel Féminin;;Banc;A. Brun;1;47;0,78;1,78;0;0;;0;0;;0;0;;2;2;1;;;;;;;;2;0;0;0;0;0;0;0;0;0;1;-2;2;4;A. Brun;;;
23-24;16;Championat de France;Exterieur;Defaite;Lyon Asvel Féminin;;Banc;S. Caetano;17;19;0,32;17,32;2;4;0,5;2;4;0,5;0;0;;0;0;;;;;;;;;4;2;2;4;1;0;0;0;1;0;0;1;7;8;S. Caetano;;;
23-24;16;Championat de France;Exterieur;Defaite;Lyon Asvel Féminin;;Banc;M. Toure;29;19;0,32;29,32;5;17;0,294117647;3;10;0,3;2;7;0,285714286;2;4;0,5;;;;;;;;14;0;0;0;1;1;4;0;0;4;4;-14;4;28;M. Toure;;;
23-24;16;Championat de France;Exterieur;Defaite;Lyon Asvel Féminin;;Banc;TOTAUX EQUIPE;;;;;26;69;0,376811594;15;43;0,348837209;11;26;0,423076923;11;15;0,733333333;20;26;10;2;20;7;6;74;15;17;32;11;11;14;2;2;17;17;0;75;;TOTAUX EQUIPE;;;
23-24;17;Championat de France;Domicile;Victoire;Basket Landes;;Starter;E. Naigre;41;45;0,75;41,75;7;15;0,466666667;5;10;0,5;2;5;0,4;0;0;;;;;;;;;16;2;10;12;7;1;0;1;0;3;2;-2;27;13;E. Naigre;;;
23-24;17;Championat de France;Domicile;Victoire;Basket Landes;;Starter;A. Alston;40;35;0,58;40,58;5;14;0,357142857;5;10;0,5;0;4;0;4;4;1;;;;;;;;14;0;2;2;4;5;0;0;1;3;3;9;6;22;A. Alston;;;
23-24;17;Championat de France;Domicile;Victoire;Basket Landes;;Starter;G. Rabot;42;32;0,53;42,53;8;12;0,666666667;5;8;0,625;3;4;0,75;3;5;0,6;;;;;;;;22;3;10;13;5;3;6;0;0;2;4;9;37;26;G. Rabot;;;
23-24;17;Championat de France;Domicile;Victoire;Basket Landes;;Starter;M. Toure;27;35;0,58;27,58;1;4;0,25;0;1;0;1;3;0,333333333;1;2;0,5;;;;;;;;4;0;1;1;3;3;1;1;0;2;1;-1;3;28;M. Toure;;;
23-24;17;Championat de France;Domicile;Victoire;Basket Landes;Capitaine;Starter;R. Bernies;40;21;0,35;40,35;4;12;0,333333333;2;7;0,285714286;2;5;0,4;3;3;1;;;;;;;;13;0;2;2;5;4;1;0;0;3;2;7;9;47;R. Bernies(C);;;
23-24;17;Championat de France;Domicile;Victoire;Basket Landes;;Banc;M. Traore;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;M. Traore;;;
23-24;17;Championat de France;Domicile;Victoire;Basket Landes;;Banc;E. Zemoura;23;57;0,95;23,95;1;4;0,25;1;1;1;0;3;0;3;6;0,5;;;;;;;;5;0;3;3;0;4;0;0;0;4;3;9;-2;2;E. Zemoura;;;
23-24;17;Championat de France;Domicile;Victoire;Basket Landes;;Banc;L. Djoko;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3;L. Djoko;;;
23-24;17;Championat de France;Domicile;Victoire;Basket Landes;;Banc;A. Brun;4;59;0,98;4,98;1;1;1;0;0;;1;1;1;0;0;;;;;;;;;3;0;0;0;0;0;0;0;0;0;0;0;3;4;A. Brun;;;
23-24;17;Championat de France;Domicile;Victoire;Basket Landes;;Banc;S. Caetano;3;16;0,27;3,27;0;2;0;0;2;0;0;0;;0;2;0;;;;;;;;0;0;0;0;0;0;1;0;0;0;1;-6;-3;8;S. Caetano;;;
23-24;17;Championat de France;Domicile;Victoire;Basket Landes;;Banc;TOTAUX EQUIPE;;;;;27;64;0,421875;18;39;0,461538462;9;25;0,36;14;22;0,636363636;20;34;7;9;8;9;14;77;6;29;35;24;20;9;2;1;17;16;0;82;;TOTAUX EQUIPE;;;
