Saison;Num_match;Competition;dom_ext;Gagne_perdu;Adveresaire;Capitaine;Starter/bench;Joueur;Minutes;Secondes;Secondes(minutes);Tps_jeu_decimal;Tirs_marques;Tirs_tentes;%Tirs;2pts_marques;2pts_tentes;%2pts;3pts_marques;3pts_tentes;%3pts;LF_marques;LF_tentes;%LF;Pts_apres_balles_perdues;Points_int;Point_2eme_chance;Points_CA;Points_banc;Ecart_max;Serie_max;Pts;RO;RD;RT;PD;BP;INT;CT;CTS;F;FPR;+/-;EVAL;N°;JOUEUR
24-25;6;Championat de France;Exterieur;Defaite;Roche Vendée;;Banc;TOTAUX EQUIPE;;;;;23;64;0,36;17;46;0,37;6;18;0,33;10;11;0,91;13;26;12;9;29;6;6;62;13;29;42;9;21;10;1;4;20;16;0;61;0;TOTAUX EQUIPE
24-25;7;Championat de France;Exterieur;Victoire;Lyon Asvel Féminin;Capitaine;Starter;M. Stervinou(C);30;47;0,78;47,78;4;12;0,33;1;3;0,33;3;9;0,33;1;2;0,50;;;;;;;;12;1;3;4;4;1;2;0;1;2;1;2;12;10;M. Stervinou(C)
24-25;7;Championat de France;Exterieur;Victoire;Lyon Asvel Féminin;;Starter;L. Evrard;33;31;0,52;31,52;3;8;0,38;1;3;0,33;2;5;0,40;0;0;;;;;;;;;8;0;2;2;12;5;3;0;0;3;1;17;15;11;L. Evrard
24-25;7;Championat de France;Exterieur;Victoire;Lyon Asvel Féminin;;Starter;N. Woolfolk;30;41;0,68;41,68;7;18;0,39;5;9;0,56;2;9;0,22;1;2;0,50;;;;;;;;17;3;6;9;4;0;1;0;1;1;3;11;19;13;N. Woolfolk
24-25;7;Championat de France;Exterieur;Victoire;Lyon Asvel Féminin;;Starter;E. Akhator;31;42;0,7;42,7;7;13;0,54;7;13;0,54;0;0;;7;8;0,88;;;;;;;;21;2;10;12;0;6;3;0;1;1;7;17;23;23;E. Akhator
24-25;7;Championat de France;Exterieur;Victoire;Lyon Asvel Féminin;;Starter;A. Trasi;27;25;0,42;25,42;8;10;0,80;8;10;0,80;0;0;;1;2;0,50;;;;;;;;17;1;4;5;2;0;1;0;0;4;1;11;22;32;A. Trasi
24-25;7;Championat de France;Exterieur;Victoire;Lyon Asvel Féminin;;Banc;P. Lezin;20;41;0,68;41,68;1;3;0,33;1;1;1,00;0;2;0,00;0;0;;;;;;;;;2;0;2;2;1;0;0;0;0;3;1;24;3;9;P. Lezin
24-25;7;Championat de France;Exterieur;Victoire;Lyon Asvel Féminin;;Banc;A. Kane;20;53;0,88;53,88;3;5;0,60;3;5;0,60;0;0;;0;0;;;;;;;;;6;2;5;7;4;2;0;1;0;2;2;4;14;17;A. Kane
24-25;7;Championat de France;Exterieur;Victoire;Lyon Asvel Féminin;;Banc;S. Belabbas;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;21;S. Belabbas
24-25;7;Championat de France;Exterieur;Victoire;Lyon Asvel Féminin;;Banc;D. Dibanzilua;4;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;1;1;0;1;0;0;0;1;0;-6;0;88;D. Dibanzilua
24-25;7;Championat de France;Exterieur;Victoire;Lyon Asvel Féminin;;Banc;Team / Coach;;;;;;;;;;;;;;;;;;;;;;;;0;1;1;2;0;2;0;0;0;0;0;0;0;0;Team / Coach
24-25;7;Championat de France;Exterieur;Victoire;Lyon Asvel Féminin;;Banc;TOTAUX EQUIPE;;;;;33;69;0,48;26;44;0,59;7;25;0,28;10;14;0,71;7;42;8;3;8;16;8;83;10;34;44;27;17;10;1;3;17;16;0;108;0;TOTAUX EQUIPE
24-25;8;Championat de France;Domicile;Defaite;Angers;Capitaine;Starter;P. Lezin(C);26;13;0,22;13,22;1;3;0,33;0;0;;1;3;0,33;0;0;;;;;;;;;3;0;1;1;1;0;1;0;0;2;0;-1;4;9;P. Lezin(C)
24-25;8;Championat de France;Domicile;Defaite;Angers;;Starter;N. Woolfolk;32;16;0,27;16,27;4;16;0,25;2;10;0,20;2;6;0,33;5;6;0,83;;;;;;;;15;3;2;5;3;1;2;0;2;2;5;-5;11;13;N. Woolfolk
24-25;8;Championat de France;Domicile;Defaite;Angers;;Starter;A. Baker;22;52;0,87;52,87;3;12;0,25;3;10;0,30;0;2;0,00;1;1;1,00;;;;;;;;7;0;1;1;3;5;0;0;0;2;1;-7;-3;15;A. Baker
24-25;8;Championat de France;Domicile;Defaite;Angers;;Starter;E. Akhator;32;31;0,52;31,52;4;6;0,67;4;6;0,67;0;0;;1;2;0,50;;;;;;;;9;8;7;15;1;3;0;0;0;0;2;-11;19;23;E. Akhator
24-25;8;Championat de France;Domicile;Defaite;Angers;;Starter;A. Trasi;31;2;0,03;2,03;2;7;0,29;2;5;0,40;0;2;0,00;1;2;0,50;;;;;;;;5;1;5;6;0;2;0;0;0;4;4;-9;3;32;A. Trasi
24-25;8;Championat de France;Domicile;Defaite;Angers;;Banc;T. Barbosa;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;7;T. Barbosa
24-25;8;Championat de France;Domicile;Defaite;Angers;;Banc;M. Stervinou;20;5;0,08;5,08;2;7;0,29;2;5;0,40;0;2;0,00;0;0;;;;;;;;;4;0;1;1;0;2;0;0;1;4;1;-25;-2;10;M. Stervinou
24-25;8;Championat de France;Domicile;Defaite;Angers;;Banc;L. Evrard;18;34;0,57;34,57;3;9;0,33;3;6;0,50;0;3;0,00;0;0;;;;;;;;;6;0;0;0;0;3;0;0;0;0;2;-13;-3;11;L. Evrard
24-25;8;Championat de France;Domicile;Defaite;Angers;;Banc;A. Kane;15;51;0,85;51,85;0;1;0,00;0;1;0,00;0;0;;0;0;;;;;;;;;0;0;0;0;2;1;1;0;0;1;2;-13;1;17;A. Kane
24-25;8;Championat de France;Domicile;Defaite;Angers;;Banc;D. Dibanzilua;0;5;0,08;5,08;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;-1;0;88;D. Dibanzilua
24-25;8;Championat de France;Domicile;Defaite;Angers;;Banc;Team / Coach;;;;;;;;;;;;;;;;;;;;;;;;0;2;5;7;0;0;0;0;0;0;0;0;0;0;Team / Coach
24-25;8;Championat de France;Domicile;Defaite;Angers;;Banc;TOTAUX EQUIPE;;;;;19;61;0,31;16;43;0,37;3;18;0,17;8;11;0,73;15;26;9;2;10;4;8;49;14;22;36;10;17;4;0;3;15;17;0;37;0;TOTAUX EQUIPE
24-25;9;Championat de France;Exterieur;Defaite;Charleville-Mézières;Capitaine;Starter;P. Lezin(C);23;6;0,1;6,1;4;9;0,44;2;4;0,50;2;5;0,40;0;0;;;;;;;;;10;2;3;5;0;2;0;0;1;2;0;-8;8;9;P. Lezin(C)
24-25;9;Championat de France;Exterieur;Defaite;Charleville-Mézières;;Starter;N. Woolfolk;32;17;0,28;17,28;7;16;0,44;6;11;0,55;1;5;0,20;2;3;0,67;;;;;;;;17;1;2;3;7;4;6;0;0;4;2;-9;19;13;N. Woolfolk
24-25;9;Championat de France;Exterieur;Defaite;Charleville-Mézières;;Starter;A. Baker;18;1;0,02;1,02;3;6;0,50;3;6;0,50;0;0;;0;0;;;;;;;;;6;1;0;1;2;2;1;0;0;1;2;-12;5;15;A. Baker
24-25;9;Championat de France;Exterieur;Defaite;Charleville-Mézières;;Starter;E. Akhator;34;25;0,42;25,42;5;8;0,63;5;8;0,63;0;0;;0;1;0,00;;;;;;;;10;7;9;16;0;4;1;2;0;2;2;-5;21;23;E. Akhator
