Saison;Num_match;Competition;dom_ext;Gagne_perdu;Adveresaire;Capitaine;Starter/bench;Joueur;Minutes;Secondes;Secondes(minutes);Tps_jeu_decimal;Tirs_marques;Tirs_tentes;%Tirs;2pts_marques;2pts_tentes;%2pts;3pts_marques;3pts_tentes;%3pts;LF_marques;LF_tentes;%LF;Pts_apres_balles_perdues;Points_int;Point_2eme_chance;Points_CA;Points_banc;Ecart_max;Serie_max;Pts;RO;RD;RT;PD;BP;INT;CT;CTS;F;FPR;+/-;EVAL;N°;JOUEUR
24-25;1/4 finale Aller;Playoff;Exterieur;Victoire;Tarbes;;Banc;L. Guapo;22;3;0,05;3,05;1;6;0,17;0;4;0,00;1;2;0,50;0;2;0,00;;;;;;;;3;2;0;2;5;1;1;0;1;3;3;-1;3;21;L. Guapo
24-25;1/4 finale Aller;Playoff;Exterieur;Victoire;Tarbes;;Banc;I. Pitarch Granel;1;8;0,13;8,13;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;1;1;0;1;0;0;0;0;0;-2;0;26;I. Pitarch Granel
24-25;1/4 finale Aller;Playoff;Exterieur;Victoire;Tarbes;;Banc;J. Bourgeois;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;27;J. Bourgeois
24-25;1/4 finale Aller;Playoff;Exterieur;Victoire;Tarbes;;Banc;Team / Coach;;;;;;;;;;;;;;;;;;;;;;;;0;6;1;7;0;0;0;0;0;0;0;0;0;0;Team / Coach
24-25;1/4 finale Aller;Playoff;Exterieur;Victoire;Tarbes;;Banc;TOTAUX EQUIPE;;;;;29;72;0,40;24;54;0,44;5;18;0,28;13;17;0,76;24;40;17;4;9;2;12;76;20;19;39;22;15;9;0;3;14;18;0;84;0;TOTAUX EQUIPE
24-25;1/4 finale Retour;Playoff;Domicile;Defaite;Tarbes;;Starter;A. Okonkwo;27;10;0,17;10,17;3;9;0,33;0;2;0,00;3;7;0,43;4;4;1,00;;;;;;;;13;2;0;2;2;2;2;0;0;0;2;-5;11;0;A. Okonkwo
24-25;1/4 finale Retour;Playoff;Domicile;Defaite;Tarbes;;Starter;P. Astier;24;37;0,62;37,62;5;9;0,56;5;8;0,63;0;1;0,00;0;0;;;;;;;;;10;0;2;2;7;4;2;0;1;1;1;1;13;18;P. Astier
24-25;1/4 finale Retour;Playoff;Domicile;Defaite;Tarbes;;Starter;K. Diaby;31;25;0,42;25,42;2;3;0,67;2;3;0,67;0;0;;3;4;0,75;;;;;;;;7;0;9;9;0;1;1;0;0;3;7;0;14;22;K. Diaby
24-25;1/4 finale Retour;Playoff;Domicile;Defaite;Tarbes;Capitaine;Starter;A. Spanou(C);23;25;0,42;25,42;2;4;0,50;1;3;0,33;1;1;1,00;1;2;0,50;;;;;;;;6;0;4;4;2;2;0;0;1;1;2;-3;7;25;A. Spanou(C)
24-25;1/4 finale Retour;Playoff;Domicile;Defaite;Tarbes;;Starter;A. Duchet;27;35;0,58;35,58;3;8;0,38;2;6;0,33;1;2;0,50;0;0;;;;;;;;;7;0;2;2;2;2;1;0;0;0;0;-11;5;39;A. Duchet
24-25;1/4 finale Retour;Playoff;Domicile;Defaite;Tarbes;;Banc;M. Green;14;29;0,48;29,48;1;5;0,20;0;2;0,00;1;3;0,33;0;0;;;;;;;;;3;0;1;1;3;0;0;1;0;2;0;2;4;7;M. Green
24-25;1/4 finale Retour;Playoff;Domicile;Defaite;Tarbes;;Banc;A. Filip;8;5;0,08;5,08;2;4;0,50;2;4;0,50;0;0;;2;3;0,67;;;;;;;;6;2;3;5;0;0;0;0;0;2;3;-3;8;11;A. Filip
24-25;1/4 finale Retour;Playoff;Domicile;Defaite;Tarbes;;Banc;A. Tournebize;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;13;A. Tournebize
24-25;1/4 finale Retour;Playoff;Domicile;Defaite;Tarbes;;Banc;L. Guapo;13;10;0,17;10,17;3;4;0,75;1;1;1,00;2;3;0,67;0;1;0,00;;;;;;;;8;1;0;1;3;1;1;1;0;0;1;6;11;21;L. Guapo
